电影中文名,电影外文名,评分,评分人数,导演,主演,类型,制片国家/地区,年份
超脱,Detachment,9.0,728530,安德鲁·斯坦顿,本·贝尔特 / 艾丽莎·奈特 / 杰夫·格尔林,科幻 / 动画 / 冒险,美国,2008
纵横四海,縱橫四海,8.8,492569,彼特·道格特 / 鲍勃·彼德森,爱德华·阿斯纳 / 克里斯托弗·普卢默 / 乔丹·长井,科幻 / 动画 / 冒险,美国,2008
英雄本色,,8.6,611540,彼特·道格特 / 鲍勃·彼德森,爱德华·阿斯纳 / 克里斯托弗·普卢默 / 乔丹·长井,剧情 / 喜剧 / 动画 / 冒险,美国,2008
巴黎淘气帮,Le petit Nicolas,8.6,138704,弗洛里安·亨克尔·冯·多纳斯马尔克,爱德华·阿斯纳 / 克里斯托弗·普卢默 / 乔丹·长井,剧情 / 喜剧 / 动画 / 冒险,美国,2009
教父3,The Godfather: Part III,9.0,436901,弗洛里安·亨克尔·冯·多纳斯马尔克,乌尔里希·穆埃 / 马蒂娜·格德克 / 塞巴斯蒂安·科赫,剧情 / 悬疑,美国,2009
穿条纹睡衣的男孩,The Boy in the Striped Pajamas,9.2,645054,弗洛里安·亨克尔·冯·多纳斯马尔克,乌尔里希·穆埃 / 马蒂娜·格德克 / 塞巴斯蒂安·科赫,剧情 / 悬疑,德国,2006
一次别离,جدایی نادر از سیمین,8.8,268472,泷田洋二郎,本木雅弘 / 广末凉子 / 山崎努,剧情 / 悬疑,德国,2006
罗生门,羅生門,8.8,362123,泷田洋二郎,本木雅弘 / 广末凉子 / 山崎努,剧情,日本,2006
勇士,Warrior,8.8,180609,克里斯托弗·诺兰,本木雅弘 / 广末凉子 / 山崎努,剧情,日本,2008
再见我们的幼儿园,さよならぼくたちのようちえん,8.8,120008,克里斯托弗·诺兰,休·杰克曼 / 克里斯蒂安·贝尔 / 迈克尔·凯恩,剧情 / 悬疑 / 惊悚,日本,2008
杀人回忆,살인의 추억,8.9,844081,克里斯托弗·诺兰,休·杰克曼 / 克里斯蒂安·贝尔 / 迈克尔·凯恩,剧情 / 悬疑 / 惊悚,英国/美国,2006
迁徙的鸟,Le peuple migrateur,9.1,76666,彼得·威尔,罗宾·威廉姆斯 / 罗伯特·肖恩·莱纳德 / 伊桑·霍克,剧情 / 悬疑 / 惊悚,英国/美国,2006
叫我第一名,Front of the Class,8.7,211616,彼得·威尔,罗宾·威廉姆斯 / 罗伯特·肖恩·莱纳德 / 伊桑·霍克,剧情,美国,2006
卡萨布兰卡,Casablanca,8.7,244723,中岛哲也,罗宾·威廉姆斯 / 罗伯特·肖恩·莱纳德 / 伊桑·霍克,剧情,美国,1989
被解救的姜戈,Django Unchained,8.8,698800,中岛哲也,中谷美纪 / 永山瑛太 / 香川照之,剧情 / 歌舞,美国,1989
那些年，我们一起追的女孩,那些年，我們一起追的女孩,8.1,940834,中岛哲也,中谷美纪 / 永山瑛太 / 香川照之,剧情 / 歌舞,日本,2006
香水,Perfume: The Story of a Murderer,8.5,584313,弗朗西斯·福特·科波拉,阿尔·帕西诺 / 罗伯特·杜瓦尔 / 黛安·基顿,剧情 / 歌舞,日本,2006
喜宴,囍宴,9.0,437203,弗朗西斯·福特·科波拉,阿尔·帕西诺 / 罗伯特·杜瓦尔 / 黛安·基顿,剧情 / 犯罪,美国,2006
绿里奇迹,The Green Mile,8.9,392419,罗曼·波兰斯基,阿尔·帕西诺 / 罗伯特·杜瓦尔 / 黛安·基顿,剧情 / 犯罪,美国,1974
麦兜故事,麥兜故事,8.6,197996,罗曼·波兰斯基,阿德里安·布罗迪 / 托马斯·克莱舒曼 / 艾米莉娅·福克斯,剧情 / 传记 / 战争 / 音乐,美国,1974
就是这样,This Is It,8.8,97105,罗曼·波兰斯基,阿德里安·布罗迪 / 托马斯·克莱舒曼 / 艾米莉娅·福克斯,剧情 / 传记 / 战争 / 音乐,英国/法国/波兰/德国/美国,2002
可可西里,,8.9,349853,西德尼·吕美特,亨利·方达 / 马丁·鲍尔萨姆 / 约翰·菲德勒,剧情 / 传记 / 战争 / 音乐,英国/法国/波兰/德国/美国,2002
发条橙,A Clockwork Orange,8.6,417997,西德尼·吕美特,亨利·方达 / 马丁·鲍尔萨姆 / 约翰·菲德勒,剧情,美国,2002
悲惨世界,Les Misérables,8.7,371566,姜文,亨利·方达 / 马丁·鲍尔萨姆 / 约翰·菲德勒,剧情,美国,1957
罪恶之城2,Sin City: A Dame to Kill For,6.9,54854,姜文,夏雨 / 宁静 / 陶虹,剧情 / 爱情,美国,1957
中央车站,Central do Brasil,8.7,123831,姜文,夏雨 / 宁静 / 陶虹,剧情 / 爱情,中国大陆/中国香港,1994
完美的世界,A Perfect World,9.1,363084,埃里克·布雷斯 / J·麦基·格鲁伯,阿什顿·库彻 / 梅洛拉·沃尔特斯 / 艾米·斯马特,剧情 / 爱情,中国大陆/中国香港,1994
魂断蓝桥,Waterloo Bridge,8.8,313447,埃里克·布雷斯 / J·麦基·格鲁伯,阿什顿·库彻 / 梅洛拉·沃尔特斯 / 艾米·斯马特,剧情 / 悬疑 / 科幻 / 惊悚,美国/加拿大,1994
战争之王,Lord of War,8.7,419469,蒂姆·波顿,阿什顿·库彻 / 梅洛拉·沃尔特斯 / 艾米·斯马特,剧情 / 悬疑 / 科幻 / 惊悚,美国/加拿大,2004
倩女幽魂,,8.8,841561,蒂姆·波顿,伊万·麦克格雷格 / 阿尔伯特·芬尼 / 比利·克鲁德普,剧情 / 爱情 / 奇幻 / 冒险,美国/加拿大,2004
玩具总动员3,Toy Story 3,8.9,601317,蒂姆·波顿,伊万·麦克格雷格 / 阿尔伯特·芬尼 / 比利·克鲁德普,剧情 / 爱情 / 奇幻 / 冒险,美国,2003
上帝也疯狂,The Gods Must Be Crazy,8.7,148665,乔纳森·戴米,朱迪·福斯特 / 安东尼·霍普金斯 / 斯科特·格伦,剧情 / 爱情 / 奇幻 / 冒险,美国,2003
末代皇帝,The Last Emperor,9.3,1034075,乔纳森·戴米,朱迪·福斯特 / 安东尼·霍普金斯 / 斯科特·格伦,剧情 / 犯罪 / 惊悚,美国,2003
猫鼠游戏,Catch Me If You Can,9.1,1218355,赛尔乔·莱昂内,朱迪·福斯特 / 安东尼·霍普金斯 / 斯科特·格伦,剧情 / 犯罪 / 惊悚,美国,1991
曾经,Once,8.3,291480,赛尔乔·莱昂内,罗伯特·德尼罗 / 詹姆斯·伍兹 / 伊丽莎白·麦戈文,犯罪 / 剧情,美国,1991
雨中曲,Singin' in the Rain,9.1,272249,赛尔乔·莱昂内,罗伯特·德尼罗 / 詹姆斯·伍兹 / 伊丽莎白·麦戈文,犯罪 / 剧情,美国/意大利,1984
红辣椒,パプリカ,9.0,575738,宫崎骏,倍赏千惠子 / 木村拓哉 / 美轮明宏,犯罪 / 剧情,美国/意大利,1984
蓝色大门,藍色大門,8.4,472272,宫崎骏,倍赏千惠子 / 木村拓哉 / 美轮明宏,爱情 / 动画 / 奇幻 / 冒险,日本,1984
爱在暹罗,รักแห่งสยาม,8.3,301961,罗启锐,倍赏千惠子 / 木村拓哉 / 美轮明宏,爱情 / 动画 / 奇幻 / 冒险,日本,2004
蝴蝶,Le papillon,8.6,127835,罗启锐,吴君如 / 任达华 / 钟绍图,剧情 / 家庭,日本,2004
英国病人,The English Patient,8.5,299772,罗启锐,吴君如 / 任达华 / 钟绍图,剧情 / 家庭,中国香港/中国大陆,2010
暖暖内含光,Eternal Sunshine of the Spotless Mind,8.5,304892,刘镇伟,梁朝伟 / 林青霞 / 张国荣,剧情 / 家庭,中国香港/中国大陆,2010
断背山,Brokeback Mountain,8.8,788629,刘镇伟,梁朝伟 / 林青霞 / 张国荣,喜剧 / 奇幻 / 武侠 / 古装,中国香港,2010
阿飞正传,阿飛正傳,8.5,566474,亚当·艾略特,梁朝伟 / 林青霞 / 张国荣,喜剧 / 奇幻 / 武侠 / 古装,中国香港,1993
牯岭街少年杀人事件,牯嶺街少年殺人事件,8.9,375295,亚当·艾略特,托妮·科莱特 / 菲利普·塞默·霍夫曼 / 巴瑞·哈姆弗莱斯,剧情 / 喜剧 / 动画,中国香港,1993
源代码,Source Code,8.6,934562,亚当·艾略特,托妮·科莱特 / 菲利普·塞默·霍夫曼 / 巴瑞·哈姆弗莱斯,剧情 / 喜剧 / 动画,澳大利亚/美国,2009
地球上的星星,Taare Zameen Par,8.9,219780,莉莉·沃卓斯基 / 拉娜·沃卓斯基,基努·里维斯 / 劳伦斯·菲什伯恩 / 凯瑞-安·莫斯,剧情 / 喜剧 / 动画,澳大利亚/美国,2009
天空之城,天空の城ラピュタ,9.2,1013799,莉莉·沃卓斯基 / 拉娜·沃卓斯基,基努·里维斯 / 劳伦斯·菲什伯恩 / 凯瑞-安·莫斯,动作 / 科幻,美国,2009
终结者2：审判日,Terminator 2: Judgment Day,8.8,390387,马基德·马基迪,基努·里维斯 / 劳伦斯·菲什伯恩 / 凯瑞-安·莫斯,动作 / 科幻,美国,1999
偷拐抢骗,Snatch,8.5,219672,马基德·马基迪,默罕默德·阿米尔·纳吉 / 阿米尔·法拉赫·哈什米安 / 巴哈丽·西迪奇,剧情 / 儿童 / 家庭,美国,1999
美国丽人,American Beauty,8.6,361801,马基德·马基迪,默罕默德·阿米尔·纳吉 / 阿米尔·法拉赫·哈什米安 / 巴哈丽·西迪奇,剧情 / 儿童 / 家庭,伊朗,1997
变脸,Face/Off,8.5,410751,费尔南多·梅里尔斯 / 卡蒂亚·伦德,亚历桑德雷·罗德里格斯 / 莱安德鲁·菲尔米诺 / 菲利佩·哈根森,剧情 / 儿童 / 家庭,伊朗,1997
我在伊朗长大,Persepolis,8.7,141518,费尔南多·梅里尔斯 / 卡蒂亚·伦德,亚历桑德雷·罗德里格斯 / 莱安德鲁·菲尔米诺 / 菲利佩·哈根森,犯罪 / 剧情,巴西/法国,1997
跳出我天地,Billy Elliot,8.8,124581,王家卫,亚历桑德雷·罗德里格斯 / 莱安德鲁·菲尔米诺 / 菲利佩·哈根森,犯罪 / 剧情,巴西/法国,2002
末路狂花,Thelma & Louise,9.0,356352,王家卫,林青霞 / 金城武 / 梁朝伟,剧情 / 爱情,巴西/法国,2002
再见列宁,Good Bye Lenin!,8.8,95732,王家卫,林青霞 / 金城武 / 梁朝伟,剧情 / 爱情,中国香港,1994
莫扎特传,Amadeus,8.7,104607,高畑勋,辰己努 / 白石绫乃 / 志乃原良子,剧情 / 爱情,中国香港,1994
新龙门客栈,新龍門客棧,8.7,515547,高畑勋,辰己努 / 白石绫乃 / 志乃原良子,动画 / 剧情 / 战争,日本,1994
