中文电影名,外文电影名,电影评分,评分人数,电影简介,电影详情
风之谷,風の谷のナウシカ,8.9,310551,动画片的圣经。,导演: 宫崎骏 Hayao Miyazaki主演: 岛本须美 Sumi Shimamoto   松田洋治 Y... 1984 日本 动画 奇幻 冒险
上帝之城,Cidade de Deus,9.0,259346,被上帝抛弃了的上帝之城。,导演: 费尔南多·梅里尔斯 Fernando Meirelles   卡迪亚·兰德 Kátia Lund&amp;nbsp... 2002 巴西 法国 犯罪 剧情
新世界,신세계,8.9,309516,要做就做得狠一点，这样才能活下去。,导演: 朴勋政 Hoon-jung Park主演: 李政宰 Jung-Jae Lee   崔岷植 Min-sik... 2013 韩国 剧情 犯罪
卢旺达饭店,Hotel Rwanda,8.9,263877,当这个世界闭上双眼，他却敞开了怀抱。,导演: 特瑞·乔治 Terry George主演: 唐·钱德尔 Don Cheadle   苏菲·奥... 2004 英国 南非 意大利 美国 剧情 传记 历史 战争
英雄本色,缺失,8.7,435651,英雄泪短，兄弟情长。,导演: 吴宇森 John Woo主演: 周润发 Yun-Fat Chow   狄龙 Lung Ti   张国... 1986 中国香港 剧情 动作 犯罪
三块广告牌,Three Billboards Outside Ebbing,Missouri,8.7,695421,怼天怼地，你走后，她与世界为敌。
疯狂原始人,The Croods,8.7,722442,老少皆宜，这就是好莱坞动画的魅力。,导演: 科克·德·米科 Kirk De Micco   克里斯·桑德斯 Chris Sanders主演... 2013 美国 喜剧 动画 冒险
谍影重重3,The Bourne Ultimatum,8.8,356735,像吃了苏打饼一样干脆的电影。,导演: 保罗·格林格拉斯 Paul Greengrass主演: 马特·达蒙 Matt Damon   ... 2007 美国 德国 动作 悬疑 惊悚
模仿游戏,The Imitation Game,8.7,515725,他给机器起名“克里斯托弗”，因为这是他初恋的名字。,导演: 莫滕·泰杜姆 Morten Tyldum主演: 本尼迪克特·康伯巴奇 Benedict C... 2014 英国 美国 剧情 传记 战争 同性
花样年华,花樣年華,8.7,484726,偷情本没有这样美。,导演: 王家卫 Kar Wai Wong主演: 梁朝伟 Tony Leung Chiu Wai   张曼玉 Ma... 2000 中国香港 剧情 爱情
黑客帝国3：矩阵革命,The Matrix Revolutions,8.8,360741,不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。,导演: 拉娜·沃卓斯基 Lana Wachowski   莉莉·沃卓斯基 Lilly Wachowski... 2003 美国 动作 科幻
纵横四海,緃横四海,8.8,344768,香港浪漫主义警匪动作片的巅峰之作。,导演: 吴宇森 John Woo主演: 周润发 Yun-Fat Chow   张国荣 Leslie Cheung... 1991 中国香港 剧情 喜剧 动作 犯罪
达拉斯买家俱乐部,Dallas Buyers Club,8.8,376420,Jared Leto的腿比女人还美！,导演: 让-马克·瓦雷 Jean-Marc Vallée主演: 马修·麦康纳 Matthew McCon... 2013 美国 剧情 传记 同性
寄生虫,기생충,8.8,1145180,,导演: 奉俊昊 Joon-ho Bong主演: 宋康昊 Kang-ho Song   李善均 Seon-gyun... 2019 韩国 剧情 喜剧
头脑特工队,Inside Out,8.7,497095,愿我们都不用长大，每一座城堡都能永远存在。,导演: 彼特·道格特 Pete Docter   罗纳尔多·德尔·卡门 Ronaldo Del Carmen&amp;nb... 2015 美国 喜剧 动画 冒险
岁月神偷,歲月神偷,8.7,508552,岁月流逝，来日可追。,导演: 罗启锐 Alex Law主演: 吴君如 Sandra Ng   任达华 Simon Yam   钟绍... 2010 中国香港 中国大陆 剧情 家庭
心迷宫,缺失,8.7,417615,荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。,导演: 忻钰坤 Yukun Xin主演: 霍卫民 Weimin Huo   王笑天 Xiaotian Wang ... 2014 中国大陆 剧情 犯罪 悬疑
