league_id,season,stage,match_api_id,date,home_team_api_id,away_team_api_id,home_team_goal,away_team_goal
1,2009/2010,24,665686,2010/1/31 0:00,9985,8571,3,1
1,2009/2010,24,665687,2010/2/3 0:00,9997,10001,0,1
1,2009/2010,24,665689,2010/1/31 0:00,9991,10000,0,2
1,2009/2010,24,665695,2010/1/29 0:00,9993,8635,0,5
1,2009/2010,25,665698,2010/2/6 0:00,8635,9997,1,2
1,2009/2010,25,665699,2010/2/7 0:00,9987,9985,1,0
1,2009/2010,25,665700,2010/2/7 0:00,10000,8342,1,1
1,2009/2010,25,665702,2010/2/6 0:00,9984,9999,2,0
1,2009/2010,25,665704,2010/2/6 0:00,9994,8203,2,1
1,2009/2010,26,665712,2010/2/14 0:00,9985,10001,1,0
1,2009/2010,26,665719,2010/3/6 0:00,9984,9994,4,0
1,2009/2010,26,665721,2010/2/14 0:00,9991,8342,1,1
1,2009/2010,26,665727,2010/3/7 0:00,9993,10000,1,1
1,2009/2010,27,665728,2010/2/21 0:00,8342,9985,2,1
1,2009/2010,27,665729,2010/2/21 0:00,8635,8203,2,0
1,2009/2010,27,665730,2010/2/19 0:00,9987,9994,3,1
1,2009/2010,27,665733,2010/2/20 0:00,8571,9984,3,1
1,2009/2010,28,665737,2010/2/28 0:00,9997,8342,1,1
1,2009/2010,28,665739,2010/2/27 0:00,9984,9987,1,0
1,2009/2010,28,665741,2010/2/27 0:00,8203,8571,1,1
1,2009/2010,29,665745,2010/3/14 0:00,8635,9987,2,0
1,2009/2010,29,665749,2010/3/14 0:00,10000,9985,1,1
1,2009/2010,29,665753,2010/3/14 0:00,8571,9994,3,1
1,2009/2010,29,665757,2010/3/14 0:00,10001,9984,2,1
1,2009/2010,3,665334,2009/8/15 0:00,8635,10001,3,0
1,2009/2010,3,665335,2009/8/15 0:00,9987,9991,1,1
1,2009/2010,3,665337,2009/8/15 0:00,9984,10000,2,2
1,2009/2010,3,665340,2009/8/15 0:00,8203,8342,2,1
1,2009/2010,30,665763,2010/3/21 0:00,9987,8571,1,1
1,2009/2010,30,665767,2010/3/21 0:00,9984,9997,3,1
1,2009/2010,30,665771,2010/3/21 0:00,8203,10000,2,1
1,2009/2010,30,665775,2010/3/21 0:00,9993,8342,1,4
1,2009/2010,4,665342,2009/8/23 0:00,8342,8571,2,2
1,2009/2010,4,665345,2009/8/22 0:00,10000,8635,0,2
1,2009/2010,4,665346,2009/8/22 0:00,9991,9994,4,1
1,2009/2010,4,665349,2009/8/22 0:00,9993,8203,1,3
1,2009/2010,5,665352,2009/8/30 0:00,8635,9985,1,1
1,2009/2010,5,665353,2009/8/30 0:00,9987,9993,1,1
1,2009/2010,5,665354,2009/8/30 0:00,9984,8342,2,3
1,2009/2010,5,665357,2009/8/29 0:00,8571,9991,1,0
1,2009/2010,5,665360,2009/8/28 0:00,10001,10000,1,2
1,2009/2010,6,665361,2009/9/13 0:00,8342,9987,1,1
1,2009/2010,6,665362,2009/9/12 0:00,9985,8203,3,0
1,2009/2010,6,665364,2009/9/12 0:00,10000,8571,0,2
1,2009/2010,6,665366,2009/9/12 0:00,9991,9999,5,1
1,2009/2010,6,665368,2009/9/13 0:00,9993,9994,2,1
1,2009/2010,7,665370,2009/9/20 0:00,8635,9991,1,1
1,2009/2010,7,665374,2009/9/19 0:00,9984,9993,1,2
1,2009/2010,7,665376,2009/9/19 0:00,9994,9985,1,3
1,2009/2010,7,665380,2009/9/20 0:00,10001,8342,1,4
1,2009/2010,8,665384,2009/9/23 0:00,8342,10000,3,1
1,2009/2010,8,665385,2009/9/23 0:00,9985,9984,1,1
1,2009/2010,8,665393,2009/9/23 0:00,9993,8571,1,0
1,2009/2010,9,665396,2009/9/27 0:00,8635,9993,1,0
1,2009/2010,9,665402,2009/9/28 0:00,9984,8203,1,0
1,2009/2010,9,665405,2009/9/26 0:00,8571,9985,0,2
1,2010/2011,1,838468,2010/7/31 0:00,8571,8342,1,0
1,2010/2011,1,838473,2010/7/31 0:00,8635,6351,4,1
