f1,stats_shoton,coordinates_0,coordinates_1,event_incident_typefk,elapsed,subtype,player1,sortorder,team,id,n,original_index
2626,1,,,135,88,shot,41980,2,8472,1247333,386,228
2627,1,,,135,90,shot,23949,1,8472,1247362,344,228
2628,0,,,61,19,blocked_shot,31013,2,9825,1260991,364,229
2629,0,,,61,25,blocked_shot,30613,1,9825,1261021,373,229
2630,1,,,147,39,shot,30613,5,9825,1261151,393,229
2631,1,,,147,40,shot,26181,1,9825,1261157,394,229
2632,1,,,550,51,big chance shot,25537,1,9825,1261464,414,229
2633,1,,,68,68,shot,47382,1,10261,1261636,434,229
2634,1,,,136,82,header,30613,1,9825,1261862,469,229
2635,0,,,139,83,direct_freekick,24205,0,10261,1261880,236,229
2636,0,,,139,45,direct_freekick,23916,0,8655,1269094,150,230
2637,1,,,312,57,deflected,33852,1,10261,1269480,245,230
2638,0,,,61,71,blocked_shot,38373,1,10261,1269807,249,230
2639,1,,,135,4,shot,36412,1,10261,1273225,218,231
2640,1,,,135,11,shot,30956,2,9879,1273337,226,231
2641,0,,,61,27,blocked_shot,41008,2,9879,1273629,242,231
2642,0,,,61,27,blocked_shot,41008,5,9879,1273637,244,231
2643,1,,,147,28,shot,30956,2,9879,1273662,246,231
2644,1,,,150,29,volley,24737,3,9879,1273670,249,231
2645,1,,,156,30,volley,30956,0,9879,1273699,251,231
2646,1,,,153,36,shot,47382,5,10261,1273817,262,231
2647,1,,,153,37,shot,36412,0,10261,1273820,263,231
2648,1,,,135,45,shot,31907,3,9879,1274031,278,231
2649,1,,,153,47,shot,36412,0,10261,1274110,280,231
2650,0,,,494,49,blocked_shot,40565,0,10261,1274143,282,231
2651,1,,,156,52,volley,47382,2,10261,1274185,286,231
2652,1,,,137,56,distance,30956,2,9879,1274263,291,231
2653,1,,,136,65,header,36412,1,10261,1274460,299,231
2654,0,,,61,85,blocked_shot,47382,0,10261,1274818,311,231
2655,1,,,135,11,shot,23934,1,8559,1284256,317,232
2656,1,,,36,19,distance,23934,0,8559,1284360,326,232
2657,1,,,135,24,shot,24372,1,8559,1284428,329,232
2658,0,,,61,26,blocked_shot,34261,0,8559,1284454,332,232
2659,1,,,553,43,big chance shot,24455,2,8559,1284715,358,232
2660,0,,,494,61,blocked_shot,24372,0,8559,1285061,383,232
2661,1,,,553,83,big chance shot,36412,2,10261,1285388,409,232
2662,0,,,61,84,blocked_shot,23934,0,8559,1285391,408,232
2663,1,,,553,90,big chance shot,30753,2,8559,1285493,420,232
2664,1,,,154,2,header,24228,2,10261,1301564,346,233
2665,0,,,61,15,blocked_shot,31906,3,8455,1301648,308,233
2666,1,,,147,19,shot,30822,1,8455,1301669,348,233
2667,1,,,142,26,header,37804,4,8455,1301698,327,233
2668,0,,,61,26,blocked_shot,31906,5,8455,1301699,326,233
2669,1,,,153,56,shot,30822,3,8455,1302153,382,233
2670,1,,,554,62,big chance shot,38831,2,10261,1302237,340,233
2671,1,,,313,67,deflected,37804,1,8455,1302291,353,233
2672,1,,,135,67,shot,30822,4,8455,1302294,355,233
2673,1,,,313,70,deflected,30822,1,8455,1302315,369,233
2674,1,,,136,71,header,31306,0,8455,1302319,370,233
2675,1,,,153,76,shot,38834,6,8455,1302378,388,233
2676,1,,,153,80,shot,31906,2,8455,1302434,378,233
2677,0,,,61,86,blocked_shot,51553,2,8455,1302510,394,233
2678,0,,,61,88,blocked_shot,30822,1,8455,1302549,397,233
2679,0,,,61,90,blocked_shot,37804,1,8455,1302564,398,233
2680,0,,,61,15,blocked_shot,32734,0,8659,1314959,272,234
2681,1,,,135,25,shot,24228,3,10261,1315035,258,234
2682,1,,,147,38,shot,33790,0,8659,1315132,294,234
2683,1,,,137,42,distance,24171,0,8659,1315194,320,234
2684,1,,,558,51,big chance header,24228,1,10261,1315500,328,234
2685,1,,,315,59,deflected,33852,4,10261,1315606,270,234
2686,0,,,61,67,blocked_shot,24171,1,8659,1315675,293,234
2687,1,,,135,67,shot,24171,3,8659,1315677,296,234
2688,0,,,61,77,blocked_shot,23954,2,8659,1315744,364,234
2689,1,,,153,80,shot,23257,0,8659,1315786,352,234
2690,0,,,61,83,blocked_shot,30248,2,10261,1315815,353,234
2691,0,,,61,90,blocked_shot,47382,2,10261,1315941,366,234
2692,1,,,144,90,volley,47382,2,10261,1315965,368,234
2693,1,,,153,10,shot,39032,4,8650,1325373,307,235
2694,1,,,136,20,header,34418,1,10261,1325479,313,235
2695,0,,,494,27,blocked_shot,30853,0,8650,1325521,263,235
2696,1,,,135,30,shot,24225,1,10261,1325537,318,235
2697,0,,,61,33,blocked_shot,41175,1,8650,1325563,266,235
2698,1,,,315,33,deflected,25923,5,8650,1325572,292,235
2699,1,,,136,52,header,30853,3,8650,1326027,315,235
2700,1,,,551,53,big chance shot,30853,3,8650,1326044,331,235
2701,0,,,61,89,blocked_shot,30853,1,8650,1326376,348,235
2702,0,,,61,89,blocked_shot,30915,2,8650,1326377,343,235
2703,1,,,136,5,header,47382,1,10261,1342203,256,236
2704,1,,,556,7,big chance header,47382,0,10261,1342222,258,236
